Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Non-Travel,1160,Research & Development,16,4,Life Sciences,1,1051,3,Female,82,4,3,Manufacturing Director,3,Divorced,16500,26000,5,Y,No,19,3,4,80,0,19,4,3,16,10,9,15
25,No,Travel_Rarely,420,Human Resources,3,1,Human Resources,1,1052,4,Male,38,2,2,Human Resources,2,Single,3200,9500,0,Y,Yes,10,3,3,80,1,3,2,2,3,2,0,2
52,No,Travel_Frequently,1580,Sales,28,4,Technical Degree,1,1053,3,Female,95,4,4,Manager,4,Married,21500,33000,7,Y,No,26,4,4,80,1,30,6,4,27,18,20,25
36,Yes,Travel_Rarely,880,Research & Development,12,3,Medical,1,1054,2,Male,65,3,2,Research Scientist,2,Single,7800,18500,3,Y,Yes,17,3,2,80,2,13,3,3,10,6,4,9
44,No,Non-Travel,1220,Human Resources,20,4,Human Resources,1,1055,4,Female,85,3,3,Manager,4,Divorced,16800,27500,4,Y,No,22,3,4,80,0,22,4,3,19,12,11,18
29,No,Travel_Rarely,620,Sales,7,2,Marketing,1,1056,3,Male,52,2,2,Sales Executive,2,Married,5200,14000,1,Y,No,14,3,2,80,1,7,3,2,6,4,2,5
47,No,Travel_Frequently,1460,Research & Development,23,5,Life Sciences,1,1057,4,Female,90,3,4,Research Director,4,Single,23000,33500,6,Y,Yes,25,4,3,80,1,25,5,4,22,14,18,21
31,Yes,Travel_Rarely,740,Sales,8,3,Technical Degree,1,1058,2,Male,55,3,2,Sales Executive,3,Divorced,6200,15500,3,Y,No,15,3,2,80,2,9,3,2,7,4,2,6
38,No,Non-Travel,1040,Research & Development,13,4,Medical,1,1059,3,Female,78,4,3,Manufacturing Director,3,Married,14800,24500,4,Y,No,18,3,4,80,0,16,4,3,13,8,6,12
24,No,Travel_Rarely,400,Human Resources,2,1,Human Resources,1,1060,4,Male,35,2,2,Human Resources,2,Single,2800,8500,0,Y,Yes,11,3,3,80,1,2,1,3,2,1,0,1
50,No,Travel_Frequently,1500,Sales,25,4,Marketing,1,1061,3,Female,92,4,4,Manager,4,Divorced,20000,31000,6,Y,No,24,4,4,80,1,28,5,4,25,16,15,23
35,Yes,Travel_Rarely,850,Research & Development,11,3,Life Sciences,1,1062,2,Male,62,3,2,Research Scientist,3,Single,7500,17000,3,Y,Yes,16,3,2,80,2,12,3,3,9,5,3,8
42,No,Non-Travel,1180,Human Resources,17,4,Human Resources,1,1063,4,Female,82,3,3,Manager,4,Married,15500,25500,4,Y,No,20,3,4,80,0,20,4,3,17,11,9,16
27,No,Travel_Rarely,540,Sales,5,2,Technical Degree,1,1064,3,Male,45,2,2,Sales Executive,2,Divorced,4500,12000,1,Y,No,12,3,2,80,1,5,2,3,4,3,1,3
48,No,Travel_Frequently,1480,Research & Development,24,5,Medical,1,1065,4,Female,88,3,4,Research Director,4,Single,22000,32000,5,Y,Yes,24,4,3,80,1,26,5,4,23,13,16,21
32,Yes,Travel_Rarely,760,Sales,9,3,Marketing,1,1066,2,Male,58,3,2,Sales Executive,3,Married,6500,16000,4,Y,No,15,3,2,80,2,10,3,2,8,5,3,7
39,No,Non-Travel,1100,Research & Development,15,4,Life Sciences,1,1067,3,Female,80,4,3,Manufacturing Director,3,Divorced,15800,26000,5,Y,No,19,3,4,80,0,17,4,3,14,9,7,13
26,No,Travel_Rarely,460,Human Resources,4,2,Human Resources,1,1068,4,Male,40,2,2,Human Resources,2,Single,3600,10000,0,Y,Yes,11,3,3,80,1,4,2,2,4,2,1,3
53,No,Travel_Frequently,1600,Sales,29,4,Technical Degree,1,1069,3,Female,95,4,4,Manager,4,Married,22000,34000,7,Y,No,27,4,4,80,1,31,6,4,28,19,21,26
37,Yes,Travel_Rarely,920,Research & Development,12,3,Medical,1,1070,2,Male,68,3,2,Research Scientist,2,Single,8200,19000,3,Y,Yes,18,3,2,80,2,14,3,3,11,7,5,10
43,No,Non-Travel,1240,Human Resources,19,4,Human Resources,1,1071,4,Female,85,3,3,Manager,4,Divorced,17200,28000,4,Y,No,21,3,4,80,0,21,4,3,18,11,10,17
30,No,Travel_Rarely,680,Sales,8,2,Marketing,1,1072,3,Male,52,2,2,Sales Executive,2,Married,5800,15000,1,Y,No,14,3,2,80,1,8,3,2,7,4,2,6
49,No,Travel_Frequently,1520,Research & Development,26,5,Life Sciences,1,1073,4,Female,92,3,4,Research Director,4,Single,24000,34500,6,Y,Yes,26,4,3,80,1,27,5,4,24,15,19,22
34,Yes,Travel_Rarely,820,Sales,10,3,Technical Degree,1,1074,2,Male,62,3,2,Sales Executive,3,Divorced,7200,17500,4,Y,No,16,3,2,80,2,11,3,2,8,5,3,7
40,No,Non-Travel,1140,Research & Development,16,4,Medical,1,1075,3,Female,82,4,3,Manufacturing Director,3,Married,16200,26500,5,Y,No,18,3,4,80,0,18,4,3,15,10,8,14
25,No,Travel_Rarely,440,Human Resources,3,1,Human Resources,1,1076,4,Male,38,2,2,Human Resources,2,Single,3400,9000,0,Y,Yes,10,3,3,80,1,3,2,2,3,2,0,2
54,No,Travel_Frequently,1640,Sales,30,4,Marketing,1,1077,3,Female,98,4,4,Manager,4,Divorced,23000,35000,8,Y,No,28,4,4,80,1,32,6,4,29,20,22,27
38,Yes,Travel_Rarely,960,Research & Development,13,3,Life Sciences,1,1078,2,Male,72,3,2,Research Scientist,2,Single,8800,20000,3,Y,Yes,19,3,2,80,2,15,3,3,12,8,6,11
45,No,Non-Travel,1280,Human Resources,21,4,Human Resources,1,1079,4,Female,88,3,3,Manager,4,Married,18000,29000,4,Y,No,23,3,4,80,0,23,4,3,20,13,12,19
31,No,Travel_Rarely,720,Sales,9,2,Technical Degree,1,1080,3,Male,55,2,2,Sales Executive,2,Divorced,6200,16000,1,Y,No,15,3,2,80,1,9,3,2,8,5,3,7
46,No,Travel_Frequently,1440,Research & Development,22,5,Medical,1,1081,4,Female,90,3,4,Research Director,4,Single,23500,33000,6,Y,Yes,24,4,3,80,1,24,5,4,21,13,17,20
33,Yes,Travel_Rarely,800,Sales,10,3,Marketing,1,1082,2,Male,60,3,2,Sales Executive,3,Married,7000,17000,4,Y,No,16,3,2,80,2,10,3,2,8,5,3,7
41,No,Non-Travel,1160,Research & Development,17,4,Life Sciences,1,1083,3,Female,82,4,3,Manufacturing Director,3,Divorced,16800,26500,5,Y,No,19,3,4,80,0,19,4,3,16,10,9,15
28,No,Travel_Rarely,600,Human Resources,6,2,Human Resources,1,1084,4,Male,48,2,2,Human Resources,2,Single,4800,13500,0,Y,Yes,13,3,3,80,1,6,2,3,5,3,1,4
51,No,Travel_Frequently,1560,Sales,27,4,Technical Degree,1,1085,3,Female,95,4,4,Manager,4,Married,21000,32500,7,Y,No,25,4,4,80,1,29,5,4,26,17,16,24
36,Yes,Travel_Rarely,880,Research & Development,12,3,Medical,1,1086,2,Male,65,3,2,Research Scientist,3,Single,7800,18000,3,Y,Yes,17,3,2,80,2,13,3,3,10,6,4,9
42,No,Non-Travel,1200,Human Resources,18,4,Human Resources,1,1087,4,Female,85,3,3,Manager,4,Divorced,16500,27000,4,Y,No,20,3,4,80,0,20,4,3,17,11,10,16
29,No,Travel_Rarely,640,Sales,7,2,Marketing,1,1088,3,Male,52,2,2,Sales Executive,2,Married,5400,14500,1,Y,No,14,3,2,80,1,7,3,2,6,4,2,5
47,No,Travel_Frequently,1480,Research & Development,23,5,Life Sciences,1,1089,4,Female,92,3,4,Research Director,4,Single,24000,34000,6,Y,Yes,25,4,3,80,1,25,5,4,22,14,18,21
32,Yes,Travel_Rarely,780,Sales,9,3,Technical Degree,1,1090,2,Male,58,3,2,Sales Executive,3,Divorced,6800,16500,4,Y,No,15,3,2,80,2,9,3,2,7,4,2,6
39,No,Non-Travel,1080,Research & Development,15,4,Medical,1,1091,3,Female,78,4,3,Manufacturing Director,3,Married,15200,25000,5,Y,No,18,3,4,80,0,17,4,3,14,9,7,13
24,No,Travel_Rarely,420,Human Resources,2,1,Human Resources,1,1092,4,Male,35,2,2,Human Resources,2,Single,3000,8500,0,Y,Yes,11,3,3,80,1,2,1,3,2,1,0,1
52,No,Travel_Frequently,1580,Sales,28,4,Marketing,1,1093,3,Female,95,4,4,Manager,4,Divorced,21500,33000,7,Y,No,26,4,4,80,1,30,6,4,27,18,20,25
37,Yes,Travel_Rarely,920,Research & Development,13,3,Life Sciences,1,1094,2,Male,68,3,2,Research Scientist,2,Single,8200,19000,3,Y,Yes,18,3,2,80,2,14,3,3,11,7,5,10
44,No,Non-Travel,1260,Human Resources,20,4,Human Resources,1,1095,4,Female,88,3,3,Manager,4,Married,17500,28500,4,Y,No,22,3,4,80,0,22,4,3,19,12,11,18
30,No,Travel_Rarely,700,Sales,8,2,Technical Degree,1,1096,3,Male,55,2,2,Sales Executive,2,Divorced,6000,15500,1,Y,No,14,3,2,80,1,8,3,2,7,4,2,6
48,No,Travel_Frequently,1500,Research & Development,24,5,Medical,1,1097,4,Female,90,3,4,Research Director,4,Single,24500,34500,6,Y,Yes,24,4,3,80,1,26,5,4,23,13,16,21
35,Yes,Travel_Rarely,860,Sales,11,3,Marketing,1,1098,2,Male,62,3,2,Sales Executive,3,Married,7600,17500,4,Y,No,16,3,2,80,2,12,3,2,9,6,4,8
43,No,Non-Travel,1220,Research & Development,19,4,Life Sciences,1,1099,3,Female,85,4,3,Manufacturing Director,3,Divorced,17000,27000,5,Y,No,21,3,4,80,0,21,4,3,18,11,10,17
27,No,Travel_Rarely,520,Human Resources,5,2,Human Resources,1,1100,4,Male,45,2,2,Human Resources,2,Single,4000,11000,0,Y,Yes,12,3,3,80,1,5,2,2,4,3,1,3
49,No,Travel_Frequently,1540,Sales,25,4,Technical Degree,1,1101,3,Female,92,4,4,Manager,4,Married,20500,31500,7,Y,No,25,4,4,80,1,27,5,4,24,15,17,22
34,Yes,Travel_Rarely,840,Research & Development,10,3,Medical,1,1102,2,Male,62,3,2,Research Scientist,3,Single,7400,18000,3,Y,Yes,16,3,2,80,2,11,3,3,8,5,3,7
41,No,Non-Travel,1180,Human Resources,17,4,Human Resources,1,1103,4,Female,82,3,3,Manager,4,Divorced,16200,26000,4,Y,No,19,3,4,80,0,19,4,3,16,10,9,15
26,No,Travel_Rarely,480,Sales,4,2,Marketing,1,1104,3,Male,42,2,2,Sales Executive,2,Married,4200,12500,0,Y,No,11,3,2,80,1,4,2,3,3,2,0,2
53,No,Travel_Frequently,1620,Research & Development,29,5,Life Sciences,1,1105,4,Female,95,3,4,Research Director,4,Single,25000,35000,6,Y,Yes,27,4,3,80,1,31,6,4,28,16,20,25
38,Yes,Travel_Rarely,980,Sales,13,3,Technical Degree,1,1106,2,Male,72,3,2,Sales Executive,2,Divorced,8600,19500,3,Y,No,18,3,2,80,2,15,3,2,12,8,6,11
45,No,Non-Travel,1300,Human Resources,21,4,Human Resources,1,1107,4,Female,88,3,3,Manager,4,Married,18500,29500,4,Y,No,23,3,4,80,0,23,4,3,20,13,12,19
31,No,Travel_Rarely,740,Research & Development,9,2,Medical,1,1108,3,Male,58,2,2,Laboratory Technician,2,Single,6500,16500,1,Y,Yes,15,3,2,80,1,9,3,2,8,5,3,7
50,No,Travel_Frequently,1580,Sales,26,4,Marketing,1,1109,3,Female,95,4,4,Manager,4,Divorced,22000,33500,7,Y,No,26,4,4,80,1,28,5,4,25,17,19,23
33,Yes,Travel_Rarely,820,Research & Development,10,3,Life Sciences,1,1110,2,Male,60,3,2,Research Scientist,3,Married,7200,17000,4,Y,Yes,16,3,2,80,2,10,3,2,8,5,3,7
42,No,Non-Travel,1240,Human Resources,18,4,Human Resources,1,1111,4,Female,85,3,3,Manager,4,Single,17200,27500,5,Y,No,20,3,4,80,0,20,4,3,17,11,10,16
28,No,Travel_Rarely,620,Sales,6,2,Technical Degree,1,1112,3,Male,48,2,2,Sales Executive,2,Divorced,5200,14000,1,Y,No,13,3,2,80,1,6,2,3,5,3,1,4
46,No,Travel_Frequently,1460,Research & Development,22,5,Medical,1,1113,4,Female,90,3,4,Research Director,4,Married,24000,34000,6,Y,Yes,24,4,3,80,1,24,5,4,21,13,17,20
36,Yes,Travel_Rarely,900,Sales,12,3,Marketing,1,1114,2,Male,65,3,2,Sales Executive,3,Single,8000,18500,4,Y,No,17,3,2,80,2,13,3,2,10,6,4,9
40,No,Non-Travel,1120,Research & Development,16,4,Life Sciences,1,1115,3,Female,80,4,3,Manufacturing Director,3,Divorced,15800,25500,5,Y,No,18,3,4,80,0,18,4,3,15,10,8,14
25,No,Travel_Rarely,460,Human Resources,3,1,Human Resources,1,1116,4,Male,40,2,2,Human Resources,2,Married,3600,10500,0,Y,Yes,11,3,3,80,1,3,2,2,3,2,0,2
54,No,Travel_Frequently,1640,Sales,30,4,Technical Degree,1,1117,3,Female,98,4,4,Manager,4,Single,23500,35500,8,Y,No,28,4,4,80,1,32,6,4,29,20,22,27
39,Yes,Travel_Rarely,1000,Research & Development,15,3,Medical,1,1118,2,Male,75,3,2,Research Scientist,2,Divorced,9200,20500,3,Y,Yes,19,3,2,80,2,16,3,3,13,8,6,12
47,No,Non-Travel,1340,Human Resources,23,4,Human Resources,1,1119,4,Female,90,3,3,Manager,4,Married,19000,30000,4,Y,No,25,3,4,80,0,25,4,3,22,14,13,20
32,No,Travel_Rarely,760,Sales,9,2,Marketing,1,1120,3,Male,58,2,2,Sales Executive,2,Single,6800,17000,1,Y,No,15,3,2,80,1,9,3,2,8,5,3,7
51,No,Travel_Frequently,1600,Research & Development,27,5,Life Sciences,1,1121,4,Female,95,3,4,Research Director,4,Divorced,26000,36000,6,Y,Yes,27,4,3,80,1,29,5,4,26,15,21,24
37,Yes,Travel_Rarely,940,Sales,13,3,Technical Degree,1,1122,2,Male,70,3,2,Sales Executive,3,Married,8400,19000,4,Y,No,18,3,2,80,2,14,3,2,11,7,5,10
44,No,Non-Travel,1280,Research & Development,20,4,Medical,1,1123,3,Female,88,4,3,Manufacturing Director,3,Single,18200,28500,5,Y,No,22,3,4,80,0,22,4,3,19,12,11,18
29,No,Travel_Rarely,660,Human Resources,7,2,Human Resources,1,1124,4,Male,52,2,2,Human Resources,2,Divorced,5600,15000,0,Y,Yes,14,3,3,80,1,7,3,2,6,4,2,5
48,No,Travel_Frequently,1520,Sales,24,4,Marketing,1,1125,3,Female,92,4,4,Manager,4,Married,21500,32000,7,Y,No,24,4,4,80,1,26,5,4,23,15,18,21
35,Yes,Travel_Rarely,880,Research & Development,11,3,Life Sciences,1,1126,2,Male,65,3,2,Research Scientist,3,Single,7800,18000,3,Y,Yes,16,3,2,80,2,12,3,3,9,5,3,8
43,No,Non-Travel,1260,Human Resources,19,4,Human Resources,1,1127,4,Female,85,3,3,Manager,4,Divorced,17800,28000,4,Y,No,21,3,4,80,0,21,4,3,18,11,10,17
30,No,Travel_Rarely,720,Sales,8,2,Technical Degree,1,1128,3,Male,55,2,2,Sales Executive,2,Married,6200,16000,1,Y,No,14,3,2,80,1,8,3,2,7,4,2,6
49,No,Travel_Frequently,1560,Research & Development,25,5,Medical,1,1129,4,Female,92,3,4,Research Director,4,Single,25500,35500,6,Y,Yes,25,4,3,80,1,27,5,4,24,14,19,22
34,Yes,Travel_Rarely,860,Sales,10,3,Marketing,1,1130,2,Male,62,3,2,Sales Executive,3,Divorced,7600,18000,4,Y,No,16,3,2,80,2,11,3,2,8,5,3,7
41,No,Non-Travel,1180,Research & Development,17,4,Life Sciences,1,1131,3,Female,82,4,3,Manufacturing Director,3,Married,16800,26500,5,Y,No,19,3,4,80,0,19,4,3,16,10,9,15
27,No,Travel_Rarely,540,Human Resources,5,2,Human Resources,1,1132,4,Male,45,2,2,Human Resources,2,Single,4400,12000,0,Y,Yes,12,3,3,80,1,5,2,2,4,3,1,3
52,No,Travel_Frequently,1620,Sales,28,4,Technical Degree,1,1133,3,Female,95,4,4,Manager,4,Divorced,22500,33500,8,Y,No,26,4,4,80,1,30,6,4,27,18,20,25
38,Yes,Travel_Rarely,980,Research & Development,14,3,Medical,1,1134,2,Male,75,3,2,Research Scientist,2,Single,9000,20000,3,Y,Yes,19,3,2,80,2,15,3,3,12,8,6,11
45,No,Non-Travel,1320,Human Resources,21,4,Human Resources,1,1135,4,Female,88,3,3,Manager,4,Married,18800,29500,4,Y,No,23,3,4,80,0,23,4,3,20,13,12,19
31,No,Travel_Rarely,760,Sales,9,2,Marketing,1,1136,3,Male,58,2,2,Sales Executive,2,Divorced,6500,16500,1,Y,No,15,3,2,80,1,9,3,2,8,5,3,7
50,No,Travel_Frequently,1580,Research & Development,26,5,Life Sciences,1,1137,4,Female,95,3,4,Research Director,4,Single,26500,36000,6,Y,Yes,26,4,3,80,1,28,5,4,25,15,21,23
36,Yes,Travel_Rarely,920,Sales,12,3,Technical Degree,1,1138,2,Male,68,3,2,Sales Executive,3,Married,8200,19000,4,Y,No,17,3,2,80,2,13,3,2,10,6,4,9
42,No,Non-Travel,1200,Research & Development,18,4,Medical,1,1139,3,Female,82,4,3,Manufacturing Director,3,Single,17000,27000,5,Y,No,20,3,4,80,0,20,4,3,17,11,10,16
26,No,Travel_Rarely,500,Human Resources,4,1,Human Resources,1,1140,4,Male,42,2,2,Human Resources,2,Married,3800,11000,0,Y,Yes,11,3,3,80,1,4,2,2,4,2,1,3
53,No,Travel_Frequently,1660,Sales,29,4,Marketing,1,1141,3,Female,98,4,4,Manager,4,Divorced,24000,36000,8,Y,No,27,4,4,80,1,31,6,4,28,19,21,26
39,Yes,Travel_Rarely,1020,Research & Development,15,3,Life Sciences,1,1142,2,Male,78,3,2,Research Scientist,2,Single,9400,21000,3,Y,Yes,20,3,2,80,2,16,3,3,13,8,6,12
46,No,Non-Travel,1360,Human Resources,22,4,Human Resources,1,1143,4,Female,90,3,3,Manager,4,Married,19500,30500,4,Y,No,24,3,4,80,0,24,4,3,21,13,14,19
33,No,Travel_Rarely,800,Sales,10,2,Technical Degree,1,1144,3,Male,62,2,2,Sales Executive,2,Divorced,7000,17500,1,Y,No,16,3,2,80,1,10,3,2,8,5,3,7
54,No,Travel_Frequently,1680,Research & Development,30,5,Medical,1,1145,4,Female,98,3,4,Research Director,4,Single,27000,37000,6,Y,Yes,28,4,3,80,1,32,6,4,29,16,23,26
40,Yes,Travel_Rarely,1060,Sales,16,3,Marketing,1,1146,2,Male,82,3,2,Sales Executive,3,Married,9800,21500,4,Y,No,21,3,2,80,2,17,3,2,14,9,7,13
47,No,Non-Travel,1380,Research & Development,23,4,Life Sciences,1,1147,3,Female,92,4,3,Manufacturing Director,3,Divorced,19200,29500,5,Y,No,25,3,4,80,0,25,4,3,22,14,15,21
34,No,Travel_Rarely,840,Human Resources,10,2,Human Resources,1,1148,4,Male,65,2,2,Human Resources,2,Single,6200,16000,0,Y,Yes,17,3,3,80,1,11,3,2,9,6,4,8
51,No,Travel_Frequently,1620,Sales,27,4,Technical Degree,1,1149,3,Female,95,4,4,Manager,4,Married,23000,34000,8,Y,No,25,4,4,80,1,29,5,4,26,17,18,24
37,Yes,Travel_Rarely,960,Research & Development,13,3,Medical,1,1150,2,Male,72,3,2,Research Scientist,2,Single,8800,20000,3,Y,Yes,18,3,2,80,2,14,3,3,11,7,5,10
44,No,Non-Travel,1300,Human Resources,20,4,Human Resources,1,1151,4,Female,88,3,3,Manager,4,Divorced,18200,29000,4,Y,No,22,3,4,80,0,22,4,3,19,12,11,18
28,No,Travel_Rarely,640,Sales,6,2,Marketing,1,1152,3,Male,52,2,2,Sales Executive,2,Married,5400,14500,1,Y,No,13,3,2,80,1,6,2,3,5,3,1,4
48,No,Travel_Frequently,1540,Research & Development,24,5,Life Sciences,1,1153,4,Female,92,3,4,Research Director,4,Single,25500,35500,6,Y,Yes,24,4,3,80,1,26,5,4,23,13,17,21
35,Yes,Travel_Rarely,900,Sales,11,3,Technical Degree,1,1154,2,Male,68,3,2,Sales Executive,3,Divorced,8000,18500,4,Y,No,16,3,2,80,2,12,3,2,9,6,4,8
43,No,Non-Travel,1280,Research & Development,19,4,Medical,1,1155,3,Female,85,4,3,Manufacturing Director,3,Married,17800,28000,5,Y,No,21,3,4,80,0,21,4,3,18,11,10,17
29,No,Travel_Rarely,680,Human Resources,7,2,Human Resources,1,1156,4,Male,55,2,2,Human Resources,2,Single,5800,15500,0,Y,Yes,14,3,3,80,1,7,3,2,6,4,2,5
49,No,Travel_Frequently,1580,Sales,25,4,Marketing,1,1157,3,Female,95,4,4,Manager,4,Divorced,22000,33000,7,Y,No,25,4,4,80,1,27,5,4,24,15,19,22
32,Yes,Travel_Rarely,820,Research & Development,9,3,Life Sciences,1,1158,2,Male,60,3,2,Research Scientist,3,Single,7400,17500,3,Y,Yes,15,3,2,80,2,9,3,3,7,4,2,6
41,No,Non-Travel,1220,Human Resources,17,4,Human Resources,1,1159,4,Female,82,3,3,Manager,4,Married,16500,26500,4,Y,No,19,3,4,80,0,19,4,3,16,10,9,15
26,No,Travel_Rarely,520,Sales,4,1,Technical Degree,1,1160,3,Male,45,2,2,Sales Executive,2,Divorced,4400,13000,0,Y,No,11,3,2,80,1,4,2,3,3,2,0,2
55,No,Travel_Frequently,1700,Research & Development,31,5,Medical,1,1161,4,Female,98,3,4,Research Director,4,Single,28000,38000,6,Y,Yes,29,4,3,80,1,33,6,4,30,17,24,27
38,Yes,Travel_Rarely,1000,Sales,14,3,Marketing,1,1162,2,Male,75,3,2,Sales Executive,2,Married,9200,20500,4,Y,No,19,3,2,80,2,15,3,2,12,8,6,11
45,No,Non-Travel,1340,Research & Development,21,4,Life Sciences,1,1163,3,Female,88,4,3,Manufacturing Director,3,Divorced,19000,29500,5,Y,No,23,3,4,80,0,23,4,3,20,13,12,19
33,No,Travel_Rarely,840,Human Resources,10,2,Human Resources,1,1164,4,Male,62,2,2,Human Resources,2,Single,6800,17000,0,Y,Yes,16,3,3,80,1,10,3,2,8,5,3,7
52,No,Travel_Frequently,1660,Sales,28,4,Technical Degree,1,1165,3,Female,95,4,4,Manager,4,Married,24000,35000,8,Y,No,26,4,4,80,1,30,5,4,27,18,20,25
39,Yes,Travel_Rarely,1040,Research & Development,15,3,Medical,1,1166,2,Male,78,3,2,Research Scientist,2,Single,9600,21000,3,Y,Yes,20,3,2,80,2,16,3,3,13,8,6,12
46,No,Non-Travel,1380,Human Resources,22,4,Human Resources,1,1167,4,Female,90,3,3,Manager,4,Divorced,19800,31000,4,Y,No,24,3,4,80,0,24,4,3,21,13,14,19
30,No,Travel_Rarely,740,Sales,8,2,Marketing,1,1168,3,Male,58,2,2,Sales Executive,2,Married,6400,16500,1,Y,No,14,3,2,80,1,8,3,2,7,4,2,6
50,No,Travel_Frequently,1600,Research & Development,26,5,Life Sciences,1,1169,4,Female,95,3,4,Research Director,4,Single,26500,37000,6,Y,Yes,26,4,3,80,1,28,5,4,25,15,21,23
36,Yes,Travel_Rarely,940,Sales,12,3,Technical Degree,1,1170,2,Male,70,3,2,Sales Executive,3,Divorced,8400,19500,4,Y,No,17,3,2,80,2,13,3,2,10,6,4,9
43,No,Non-Travel,1300,Research & Development,19,4,Medical,1,1171,3,Female,85,4,3,Manufacturing Director,3,Married,18200,28500,5,Y,No,21,3,4,80,0,21,4,3,18,11,10,17
27,No,Travel_Rarely,560,Human Resources,5,1,Human Resources,1,1172,4,Male,48,2,2,Human Resources,2,Single,4600,12500,0,Y,Yes,12,3,3,80,1,5,2,2,4,3,1,3
53,No,Travel_Frequently,1680,Sales,29,4,Marketing,1,1173,3,Female,98,4,4,Manager,4,Divorced,24500,36500,8,Y,No,27,4,4,80,1,31,6,4,28,19,21,26
40,Yes,Travel_Rarely,1080,Research & Development,16,3,Life Sciences,1,1174,2,Male,82,3,2,Research Scientist,2,Single,10000,22000,3,Y,Yes,21,3,2,80,2,17,3,3,14,9,7,13
47,No,Non-Travel,1420,Human Resources,23,4,Human Resources,1,1175,4,Female,92,3,3,Manager,4,Married,20500,32000,4,Y,No,25,3,4,80,0,25,4,3,22,14,15,21
34,No,Travel_Rarely,860,Sales,10,2,Technical Degree,1,1176,3,Male,65,2,2,Sales Executive,2,Divorced,7600,18000,1,Y,No,17,3,2,80,1,11,3,2,9,6,4,8
54,No,Travel_Frequently,1720,Research & Development,30,5,Medical,1,1177,4,Female,98,3,4,Research Director,4,Single,28500,39000,6,Y,Yes,28,4,3,80,1,32,6,4,29,16,23,26
41,Yes,Travel_Rarely,1100,Sales,17,3,Marketing,1,1178,2,Male,85,3,2,Sales Executive,3,Married,10200,23000,4,Y,No,22,3,2,80,2,18,3,2,15,10,8,14
48,No,Non-Travel,1460,Research & Development,24,4,Life Sciences,1,1179,3,Female,95,4,3,Manufacturing Director,3,Divorced,20000,30500,5,Y,No,26,3,4,80,0,26,4,3,23,15,16,22
31,No,Travel_Rarely,780,Human Resources,9,2,Human Resources,1,1180,4,Male,60,2,2,Human Resources,2,Single,6800,17500,0,Y,Yes,15,3,3,80,1,9,3,2,8,5,3,7
51,No,Travel_Frequently,1640,Sales,27,4,Technical Degree,1,1181,3,Female,95,4,4,Manager,4,Married,24000,35500,8,Y,No,25,4,4,80,1,29,5,4,26,17,18,24
37,Yes,Travel_Rarely,980,Research & Development,13,3,Medical,1,1182,2,Male,75,3,2,Research Scientist,2,Single,9000,21000,3,Y,Yes,18,3,2,80,2,14,3,3,11,7,5,10
44,No,Non-Travel,1320,Human Resources,20,4,Human Resources,1,1183,4,Female,88,3,3,Manager,4,Divorced,18800,30000,4,Y,No,22,3,4,80,0,22,4,3,19,12,11,18
28,No,Travel_Rarely,660,Sales,6,2,Marketing,1,1184,3,Male,52,2,2,Sales Executive,2,Married,5600,15000,1,Y,No,13,3,2,80,1,6,2,3,5,3,1,4
49,No,Travel_Frequently,1600,Research & Development,25,5,Life Sciences,1,1185,4,Female,95,3,4,Research Director,4,Single,27000,37500,6,Y,Yes,25,4,3,80,1,27,5,4,24,14,19,22
35,Yes,Travel_Rarely,920,Sales,11,3,Technical Degree,1,1186,2,Male,68,3,2,Sales Executive,3,Divorced,8200,19000,4,Y,No,16,3,2,80,2,12,3,2,9,6,4,8
42,No,Non-Travel,1300,Research & Development,18,4,Medical,1,1187,3,Female,82,4,3,Manufacturing Director,3,Married,18000,28500,5,Y,No,20,3,4,80,0,20,4,3,17,11,10,16
29,No,Travel_Rarely,700,Human Resources,7,2,Human Resources,1,1188,4,Male,55,2,2,Human Resources,2,Single,6000,15500,0,Y,Yes,14,3,3,80,1,7,3,2,6,4,2,5
50,No,Travel_Frequently,1620,Sales,26,4,Marketing,1,1189,3,Female,95,4,4,Manager,4,Divorced,23000,34500,7,Y,No,26,4,4,80,1,28,5,4,25,16,20,23
38,Yes,Travel_Rarely,1020,Research & Development,14,3,Life Sciences,1,1190,2,Male,78,3,2,Research Scientist,2,Single,9400,21500,3,Y,Yes,19,3,2,80,2,15,3,3,12,8,6,11
45,No,Non-Travel,1380,Human Resources,21,4,Human Resources,1,1191,4,Female,90,3,3,Manager,4,Married,19200,30500,4,Y,No,23,3,4,80,0,23,4,3,20,13,12,19
32,No,Travel_Rarely,820,Sales,9,2,Technical Degree,1,1192,3,Male,62,2,2,Sales Executive,2,Divorced,7200,17500,1,Y,No,15,3,2,80,1,9,3,2,8,5,3,7
